UserID,CourseID,Course Name,Choice,Ground Truth
5,CSCI-A216,DIGITAL MULTIMEDIA CONCEPTS AND TECHNOLOGIES,SA,2
5,CSCI-A338,NETWORK TECHNOLOGIES AND SYSTEMS ADMINISTRATION,NO,0
5,CSCI-A593,COMPUTER STRUCTURES,A,1
5,CSCI-A596,PROGRAMMING LANGUAGES,SA,2
5,CSCI-B430,SECURITY FOR NETWORKED SYSTEMS,SA,2
5,CSCI-B505,APPLIED ALGORITHMS,D,-1
5,CSCI-B546,MALWARE EPIDEMIC: THREAT AND DEFENSE,SA,2
5,CSCI-P423,COMPILERS,SA,2
5,CSCI-P465,SOFTWARE ENGINEERING FOR INFORMATION SYSTEMS I,D,-1
5,CSCI-P556,APPLIED MACHINE LEARNING,NO,0
